"","Chrom","ID","n.assoc","START","END","Potra_Gene_ID","num_SNPs","Gene_Length","mean_alleleFreq","Functional_Description","Potri_Gene_ID","Percent_ID","Alignment_Length","Mismatches","Gap_Openings","Query_Start","Query_End","Subject_Start","Subject_End","Expected_Value","Bit_Score","AT_Gene_ID","Percent_ID.1","Alignment_Length.1","Mismatches.1","Gap_Openings.1","Query_Start.1","Query_End.1","Subject_Start.1","Subject_End.1","Expected_Value.1","Bit_Score.1","GO_ID","GO_Description"
"22","Potra000370","Potra000370:176312",2,168492,169753,"Potra000370g01549.1",4,1261,0.239,"uncharacterized protein LOC105138093","Potri|010G047700.1",96.74,307,10,3,1,307,1,304,0,603,"Artha|AT4G12690",45.28,265,145,13,12,275,7,259,5e-73,231,"NA ",""
"23","Potra000370","Potra000370:176312",2,6946,10507,"Potra000370g01534.1",5,3561,0.298,"threonine-protein kinase","Potri|010G027300.1",98.05,308,6,0,266,573,1,308,0,629,"Artha|AT5G18910",56.52,529,230,54,17,538,25,506,0,556,"GO:0004672","protein kinase activity"
"24","Potra000370","Potra000370:176312",2,88710,91365,"Potra000370g01540.1",12,2655,0.224,"Cytochrome P450 71B36","Potri|008G184900.1",82.07,541,97,34,1,541,1,507,0,862,"Artha|AT3G26320",50.49,511,253,37,30,540,25,498,0,535,"GO:0055114","oxidation-reduction process"
"25","Potra000370","Potra000370:176312",2,32381,57353,"Potra000370g01536.1",1,24972,0.052,"uncharacterized protein LOC105115725 isoform","Potri|010G026900.1",98.81,84,1,0,1,84,1,84,5e-56,171,"Artha|AT5G18850",62.96,81,30,1,2,82,6,85,5e-34,115,"NA ",""
"26","Potra000370","Potra000370:176312",2,93662,97883,"Potra000370g01541.1",3,4221,0.34,"threonine-protein kinase","Potri|010G049100.1",96.32,435,16,1,1,435,1,434,0,871,"Artha|AT4G24740",72.25,436,121,12,1,433,1,427,0,662,"GO:0004672","protein kinase activity"
"27","Potra000370","Potra000370:176312",2,114030,118573,"Potra000370g01544.1",15,4543,0.179,"uncharacterized protein LOC105138084","Potri|010G048600.1",99.12,113,1,0,1,113,1,113,7e-77,226,"Artha|AT3G26360",50.44,113,56,12,1,113,1,101,3e-30,106,"GO:0003735","structural constituent of ribosome"
"28","Potra000370","Potra000370:176312",2,125139,144264,"Potra000370g01546.1",11,19125,0.172,"Probable alpha-galactosidase","Potri|010G048400.1",96.72,641,21,0,1,641,1,641,0,1292,"Artha|AT3G26380",61.96,652,248,39,7,640,14,644,0,833,"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds"
"29","Potra000370","Potra000370:176312",2,175522,180644,"Potra000370g01551.1",10,5122,0.242,"Chloroplast sensor kinase","Potri|010G047500.1",95.68,648,28,14,1,647,1,635,0,1258,"Artha|AT1G67840",60.98,651,254,50,1,642,1,610,0,707,NA,NA
"30","Potra000370","Potra000370:176312",2,170985,174631,"Potra000370g01550.1",3,3646,0.303,"protein phosphatase 2C","Potri|010G047600.1",98.11,424,8,0,1,424,1,424,0,859,"Artha|AT1G67820",53.83,405,187,37,18,421,76,444,2e-138,407,"GO:0003824","catalytic activity"
"31","Potra000370","Potra000370:176312",2,196763,202719,"Potra000370g01552.1",7,5956,0.203,"uncharacterized protein LOC105138096 isoform","Potri|010G047200.1",98.26,403,7,0,30,432,25,427,0,830,"Artha|AT1G67850",74.08,382,99,4,46,425,15,394,0,610,"NA ",""
"32","Potra000370","Potra000370:176312",2,102563,109190,"Potra000370g01543.1",13,6627,0.168,"coilin-like isoform","Potri|010G048700.1",95.5,667,30,6,1,661,1,667,0,1301,"Artha|AT1G13030",40.5,679,404,93,2,661,4,608,1e-114,360,"NA ",""
"33","Potra000370","Potra000370:176312",2,215,4852,"Potra000370g01533.1",2,4637,0.053,"Uncharacterized protein At4g15545","Potri|010G027400.1",96.53,346,12,0,1,346,1,346,0,669,"Artha|AT4G15545",63.37,344,126,26,6,346,17,337,1e-136,396,NA,NA
"34","Potra000370","Potra000370:176312",2,144313,151482,"Potra000370g01547.1",2,7169,0.415,"Eukaryotic translation initiation factor","Potri|010G048200.1",97.12,520,15,4,1,520,1,516,0,992,"Artha|AT3G26400",55.99,559,246,69,1,520,1,529,9e-148,438,"GO:0003743","translation initiation factor activity"
"35","Potra000370","Potra000370:176312",2,117547,125073,"Potra000370g01545.1",28,7526,0.258,"Uncharacterized protein At1g04910","Potri|010G048500.1",98.9,545,6,0,1,545,1,545,0,1131,"Artha|AT3G26370",84.44,559,87,16,1,545,1,557,0,915,"NA ",""
"36","Potra000389","Potra000389:31289",2,81497,82361,"Potra000389g01779.1",3,864,0.088,"SKP1-like protein","Potri|012G086900.1",90.97,155,14,2,1,155,1,153,5e-88,258,"Artha|AT3G21850",45.03,151,83,6,7,153,2,150,9e-38,129,"GO:0006511","ubiquitin-dependent protein catabolic process"
"37","Potra000389","Potra000389:31289",2,60617,68615,"Potra000389g01777.1",1,7998,0.054,"protein knotted-1","Potri|012G087100.1",96.76,340,11,0,1,340,1,340,0,695,"Artha|AT1G23380",53.3,349,163,36,2,337,1,326,1e-105,316,"GO:0003677","DNA binding"
"38","Potra000389","Potra000389:31289",2,72954,75839,"Potra000389g01778.1",9,2885,0.169,"Cysteine-rich receptor-like protein kinase","Potri|012G087000.1",98.31,593,10,0,1,593,1,593,0,1207,"Artha|AT5G40380",49.84,620,311,28,1,606,15,620,0,595,"GO:0004672","protein kinase activity"
"39","Potra000389","Potra000389:31289",2,85952,89527,"Potra000389g01780.1",8,3575,0.151,"ribosomal protein L19","Potri|012G086800.1",98.76,242,3,0,1,242,1,242,2e-177,491,"Artha|AT5G11750",68,150,48,1,92,241,80,228,1e-67,211,"GO:0006412","translation"
"40","Potra000389","Potra000389:31289",2,29279,37264,"Potra000389g01776.1",4,7985,0.222,"protein LOC8288982 isoform X1","Potri|012G087400.1",96.86,1083,34,0,1,1083,1,1083,0,2151,"Artha|AT3G48200",59.37,1083,440,32,19,1083,20,1088,0,1229,"NA ",""
"41","Potra000455","Potra000455:56889",2,38656,47631,"Potra000455g02605.1",20,8975,0.152,"Mediator of RNA polymerase","Potri|016G142500.1",98.07,1087,21,0,264,1350,6,1092,0,2175,"Artha|AT3G23590",39.91,1338,804,62,29,1346,9,1304,0,956,"NA ",""
"42","Potra000455","Potra000455:56889",2,24131,26463,"Potra000455g02602.1",9,2332,0.176,"Cyclin-dependent kinase","Potri|016G142800.1",98.56,278,4,0,1,278,1,278,0,566,"Artha|AT2G38620",79.59,294,60,5,1,289,1,294,3e-173,486,"GO:0004672","protein kinase activity"
"43","Potra000455","Potra000455:56889",2,140715,147258,"Potra000455g02620.1",15,6543,0.235,"Putative zinc transporter At3g08650","Potri|016G140500.1",97.17,600,17,0,1,600,1,600,0,1156,"Artha|AT3G08650",76.13,574,137,5,28,600,50,619,0,833,"GO:0055085","transmembrane transport"
"44","Potra000455","Potra000455:56889",2,66563,69556,"Potra000455g02610.1",1,2993,0.184,"uncharacterized protein LOC105120091","Potri|016G141900.1",93.93,346,21,0,1,346,1,346,0,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Potra000455","Potra000455:56889",2,154994,164009,"Potra000455g02622.1",1,9015,0.047,"receptor-like serine/threonine","Potri|016G140300.1",96.25,961,36,0,1,961,1,961,0,1896,"Artha|AT5G01950",62.9,903,335,4,7,906,6,907,0,1125,"GO:0006468","protein phosphorylation"
"46","Potra000455","Potra000455:56889",2,85631,89855,"Potra000455g02612.1",2,4224,0.161,"E3 ubiquitin-protein ligase","Potri|016G141600.1",89.22,538,58,23,28,565,1,515,0,876,"Artha|AT5G01980",43.92,551,309,84,26,564,14,492,1e-114,353,"GO:0005515","protein binding"
"47","Potra000455","Potra000455:56889",2,102077,109757,"Potra000455g02615.1",6,7680,0.155,"RING finger and transmembrane domain-containing","Potri|016G141200.1",98.75,480,6,4,1,480,1,476,0,968,"Artha|AT5G01960",69.15,457,141,37,24,480,7,426,0,627,"GO:0005515","protein binding"
"48","Potra000455","Potra000455:56889",2,204,1527,"Potra000455g02599.1",10,1323,0.154,"50S ribosomal protein L17","Potri|016G143100.1",98.24,227,4,0,1,227,1,227,7e-165,458,"Artha|AT3G54210",64.35,230,82,22,1,227,1,211,7e-93,275,"GO:0006412","translation"
"49","Potra000455","Potra000455:56889",2,139109,143286,"Potra000455g02619.1",4,4177,0.239,"Protein RETICULATA-RELATED","Potri|016G140700.1",93.56,357,23,2,1,357,1,355,0,576,"Artha|AT3G08640",73.66,243,64,2,88,328,90,332,2e-131,384,"NA ",""
"50","Potra000455","Potra000455:56889",2,55561,57396,"Potra000455g02608.1",10,1835,0.15,"Unknown protein 1","Potri|016G142100.1",98.6,214,3,0,1,214,1,214,4e-155,433,"Artha|AT2G28330",34.71,121,79,25,95,212,55,153,2e-10,56.6,NA,NA
"51","Potra000455","Potra000455:56889",2,122485,123972,"Potra000455g02617.1",3,1487,0.144,"1 alpha subcomplex","Potri|016G140900.1",98.25,57,1,0,1,57,1,57,1e-36,120,"Artha|AT3G08610",64.06,64,23,0,1,64,1,64,3e-25,90.9,"NA ",""
"52","Potra000455","Potra000455:56889",2,27463,30103,"Potra000455g02603.1",3,2640,0.185,"Serine/threonine-protein","Potri|016G142700.1",99.36,314,2,0,1,314,1,314,0,647,"Artha|AT2G39840",80,290,58,1,17,305,19,308,1e-175,493,"GO:0016787","hydrolase activity"
"53","Potra000455","Potra000455:56889",2,63727,65361,"Potra000455g02609.1",16,1634,0.212,"Calcium-binding protein","Potri|016G142000.1",96.26,187,7,0,85,271,18,204,1e-119,345,"Artha|AT4G20780",61.62,185,71,6,87,271,13,191,1e-77,236,"GO:0005509","calcium ion binding"
"54","Potra000455","Potra000455:56889",2,18547,23527,"Potra000455g02601.1",12,4980,0.151,"3-bisphosphoglycerate-independent phosphoglycerate mutase","Potri|016G142900.1",98.87,353,4,0,1,353,208,560,0,723,"Artha|AT1G09780",86.65,352,47,0,1,352,206,557,0,637,"GO:0006007","glucose catabolic process"
"55","Potra000455","Potra000455:56889",2,125868,131843,"Potra000455g02618.1",7,5975,0.201,"domain-containing protein","Potri|006G111400.1",96.48,284,10,0,1,284,1,284,0,568,"Artha|AT2G38610",87.54,289,36,10,1,283,1,285,7e-177,493,"GO:0003676","nucleic acid binding"
"56","Potra000455","Potra000455:56889",2,79975,86350,"Potra000455g02611.1",3,6375,0.135,"Uncharacterized transporter C5D6","Potri|016G141700.1",98.31,414,7,0,1,414,1,414,0,815,"Artha|AT5G01990",76.57,431,101,18,1,414,2,431,0,647,"GO:0016021","integral component of membrane"
"57","Potra000455","Potra000455:56889",2,32850,36877,"Potra000455g02604.1",4,4027,0.076,"uncharacterized protein LOC105112286","Potri|016G142600.1",97.66,471,11,2,3,471,1,471,0,951,"Artha|AT3G54190",85.9,468,66,3,7,474,3,467,0,837,NA,NA
"58","Potra000455","Potra000455:56889",2,92743,97925,"Potra000455g02613.1",5,5182,0.214,"Bromodomain-containing protein","Potri|016G141400.1",95.84,770,32,5,1,765,1,770,0,1526,"Artha|AT5G55040",29,369,262,75,124,458,159,486,4e-31,130,"GO:0005515","protein binding"
"95","Potra000488","Potra000488:95860",2,52809,58968,"Potra000488g03041.1",7,6159,0.178,"proteasome non-ATPase regulatory subunit 12","Potri|007G076900.1",99.55,442,2,0,1,442,1,442,0,898,"Artha|AT5G64760",82.99,441,75,0,1,441,1,441,0,743,"GO:0005515","protein binding"
"96","Potra000488","Potra000488:95860",2,112152,114904,"Potra000488g03048.1",9,2752,0.15,"TSL-kinase interacting protein","Potri|007G077700.1",94.37,391,22,11,1,391,22,401,0,744,"Artha|AT4G39380",38.14,451,279,88,4,390,90,516,6e-73,239,NA,NA
"97","Potra000488","Potra000488:95860",2,233049,265930,"Potra000488g03056.1",5,32881,0.071,"conserved unknown protein","Potri|005G086100.1",86.08,3241,451,29,1,3224,1,3229,0,5599,"Artha|AT4G39420",58.55,3264,1353,133,8,3224,7,3184,0,3597,"NA ",""
"98","Potra000488","Potra000488:95860",2,118496,123711,"Potra000488g03049.1",7,5215,0.266,"Solute carrier family 35 member","Potri|007G077900.1",99.1,334,3,0,1,334,1,334,0,673,"Artha|AT4G09810",78.42,329,71,0,5,333,6,334,0,542,"NA ",""
"99","Potra000488","Potra000488:95860",2,63920,67326,"Potra000488g03042.1",5,3406,0.102,"Protein S-acyltransferase","Potri|007G077000.1",95.94,345,14,0,1,345,1,345,0,670,"Artha|AT4G24630",64.87,353,124,10,1,345,1,351,1e-164,469,"GO:0008270","zinc ion binding"
"100","Potra000488","Potra000488:95860",2,274,7897,"Potra000488g03037.1",6,7623,0.126,"synthase A catalytic","Potri|007G076500.1",99.09,1096,10,2,1,1094,1,1096,0,2245,"Artha|AT5G64740",84.36,1100,172,24,1,1093,1,1083,0,1891,"GO:0016020","membrane"
"101","Potra000488","Potra000488:95860",2,154632,158800,"Potra000488g03051.1",8,4168,0.141,"WRKY transcription factor","Potri|007G078200.1",90.6,234,22,2,1,233,1,233,3e-157,439,"Artha|AT4G39410",48.78,246,126,54,42,233,59,304,4e-60,194,"GO:0003700","transcription factor activity, sequence-specific DNA binding"
"102","Potra000488","Potra000488:95860",2,161569,162504,"Potra000488g03052.1",3,935,0.285,"WRKY transcription factor","Potri|007G078200.1",95.83,168,7,1,35,201,1,168,1e-114,330,"Artha|AT4G39410",36.47,170,108,46,76,201,67,234,3e-20,86.7,NA,NA
"103","Potra000488","Potra000488:95860",2,214530,218636,"Potra000488g03054.1",11,4106,0.115,"Lipoyl synthase, mitochondrial","Potri|007G078400.1",98.27,346,6,0,85,430,1,346,0,713,"Artha|AT2G20860",81.5,346,64,10,85,430,1,336,0,527,"GO:0051536","iron-sulfur cluster binding"
"104","Potra000488","Potra000488:95860",2,94753,103769,"Potra000488g03046.1",16,9016,0.182,"Crossover junction endonuclease","Potri|007G077400.1",96.61,560,19,7,1,560,1,553,0,1119,"Artha|AT2G22140",50.88,568,279,37,1,555,1,544,1e-168,494,"GO:0003677","DNA binding"
"105","Potra000488","Potra000488:95860",2,84259,85350,"Potra000488g03045.1",8,1091,0.161,"growth factor 6","Potri|007G077300.1",94.74,76,4,0,1,76,1,76,4e-49,152,"Artha|AT4G16515",39.24,79,48,9,6,76,6,83,2e-08,47.4,"NA ",""
"106","Potra000488","Potra000488:95860",2,22941,29231,"Potra000488g03039.1",1,6290,0.202,"Ribonucleoside-diphosphate reductase large","Potri|007G076700.1",99.05,839,8,1,1,839,1,838,0,1742,"Artha|AT2G21790",83.73,842,137,29,1,839,1,816,0,1492,"GO:0055114","oxidation-reduction process"
"107","Potra000488","Potra000488:95860",2,70324,76122,"Potra000488g03043.1",11,5798,0.134,"carboxyl-terminal hydrolase","Potri|007G077100.1",98.14,539,10,0,1,539,1,539,0,1086,"Artha|AT4G39370",45.65,552,300,92,5,536,26,505,9e-134,402,"GO:0016579","protein deubiquitination"
"108","Potra000488","Potra000488:95860",2,267858,269680,"Potra000488g03057.1",8,1822,0.138,"endo-1,3-beta","Potri|007G078900.1",96.49,485,17,0,1,485,1,485,0,963,"Artha|AT5G64790",58.04,448,188,3,26,470,22,469,0,548,"GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds"
"109","Potra000490","Potra000490:171371",2,30509,33372,"Potra000490g03074.1",1,2863,0.05,"Oligopeptide transporter 1","Potri|016G004800.1",89.96,279,28,0,24,302,28,306,4e-178,519,"Artha|AT5G55930",63.17,334,123,15,27,345,32,365,3e-139,419,"GO:0055085","transmembrane transport"
"110","Potra000490","Potra000490:171371",2,174937,176455,"Potra000490g03097.1",3,1518,0.135,"VQ motif-containing protein 22","Potri|006G006300.1",95.67,254,11,3,38,289,1,253,7e-169,473,"Artha|AT3G22160",53.45,116,54,16,106,219,43,144,2e-14,69.7,"NA ",""
"111","Potra000490","Potra000490:171371",2,51296,56871,"Potra000490g03077.1",15,5575,0.275,"Phosphatidylinositol/phosphatidylcholine transfer protein","Potri|006G004000.1",97.68,345,8,2,1,343,1,345,0,706,"Artha|AT5G47730",74.77,333,84,6,1,330,1,330,3e-180,507,"NA ",""
"112","Potra000490","Potra000490:171371",2,133988,136310,"Potra000490g34985.1",8,2322,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Potra000490","Potra000490:171371",2,39097,44066,"Potra000490g03075.1",1,4969,0.055,"threonine-protein kinase","Potri|006G003800.1",99.02,611,6,0,1,611,1,611,0,1249,"Artha|AT5G47750",75.92,598,144,32,22,611,13,586,0,879,"GO:0004672","protein kinase activity"
"114","Potra000490","Potra000490:171371",2,169843,174328,"Potra000490g03096.1",19,4485,0.159,"Heavy metal-associated","Potri|006G006100.1",94.02,234,14,0,24,257,28,261,8e-126,362,"Artha|AT5G50740",47.06,255,135,24,27,257,36,290,6e-64,204,"GO:0030001","metal ion transport"
"115","Potra000490","Potra000490:171371",2,53611,57940,"Potra000490g03078.1",15,4329,0.275,"WEB family protein","Potri|006G004100.1",94.39,535,30,1,34,568,1,534,0,932,"Artha|AT1G12150",46.03,541,292,26,44,562,7,543,1e-126,386,"NA ",""
"116","Potra000490","Potra000490:171371",2,80501,86760,"Potra000490g33776.1",3,6259,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Potra000490","Potra000490:171371",2,184824,191090,"Potra000490g03098.1",5,6266,0.131,"Cytochrome P450 97B2, chloroplastic","Potri|006G006200.1",97.44,585,15,6,1,585,1,579,0,1169,"Artha|AT4G15110",79.7,537,109,5,48,582,46,579,0,908,"GO:0055114","oxidation-reduction process"
"118","Potra000490","Potra000490:171371",2,24458,26396,"Potra000490g03072.1",6,1938,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Potra000490","Potra000490:171371",2,115687,119817,"Potra000490g03087.1",16,4130,0.206,"repeat-containing protein","Potri|006G005100.1",99.01,709,7,0,61,769,1,709,0,1456,"Artha|AT4G30825",67.19,768,252,1,2,769,138,904,0,1100,"NA ",""
"120","Potra000490","Potra000490:171371",2,86970,89715,"Potra000490g03082.1",12,2745,0.24,"DNA oxidative demethylase ALKBH2","Potri|006G004500.1",94.02,251,15,11,1,251,1,240,3e-172,479,"Artha|AT2G22260",68.26,230,73,12,22,250,96,314,2e-114,334,"NA ",""
"121","Potra000490","Potra000490:171371",2,93921,108231,"Potra000490g03084.1",5,14310,0.118,"chromatid cohesion protein","Potri|016G005400.1",85.85,1682,238,13,14,1685,14,1692,0,2833,"Artha|AT5G47690",55.78,1703,753,124,5,1684,3,1604,0,1789,NA,NA
"122","Potra000490","Potra000490:171371",2,109288,112412,"Potra000490g03085.1",10,3124,0.238,"methyltransferase 10 homolog","Potri|006G004900.1",97.87,328,7,0,1,328,1,328,0,652,"Artha|AT5G47680",66.67,333,111,19,10,324,7,338,1e-131,382,"NA ",""
"123","Potra000490","Potra000490:171371",2,4611,7791,"Potra000490g03069.1",3,3180,0.181,"of protein phosphatase 1","Potri|006G003100.1",97.21,430,12,1,1,429,1,430,0,852,"Artha|AT5G47790",57.77,431,182,64,1,429,1,369,5e-165,473,"GO:0005515","protein binding"
"124","Potra000490","Potra000490:171371",2,155021,159394,"Potra000490g03095.1",12,4373,0.109,"Oligopeptide transporter 3","Potri|006G006000.1",99.06,744,7,0,1,744,1,744,0,1508,"Artha|AT4G16370",84.65,736,113,2,9,744,4,737,0,1302,"GO:0055085","transmembrane transport"
"125","Potra000490","Potra000490:171371",2,80230,86817,"Potra000490g03081.1",4,6587,0.261,"Acetyl-CoA acetyltransferase","Potri|006G004400.1",97.82,412,9,0,1,412,1,412,0,815,"Artha|AT5G47720",82.2,410,73,0,3,412,6,415,0,704,"GO:0008152","metabolic process"
"126","Potra000490","Potra000490:171371",2,129678,130355,"Potra000490g03090.1",3,677,0.318,"Nuclear transcription factor","Potri|006G005500.1",98.37,184,3,2,1,184,32,213,2e-132,374,"Artha|AT4G14540",78.63,131,28,6,1,131,1,125,3e-70,214,"NA ",""
"127","Potra000490","Potra000490:171371",2,60519,73995,"Potra000490g03079.1",17,13476,0.191,"Cellulose synthase-like","Potri|006G004200.1",93.16,731,50,14,1,730,1,718,0,1396,"Artha|AT1G55850",52.35,724,345,22,8,726,18,724,0,764,"GO:0016020","membrane"
"128","Potra000490","Potra000490:171371",2,112957,114578,"Potra000490g03086.1",6,1621,0.166,"Nuclear transcription factor","Potri|006G005000.1",83.82,241,39,23,1,231,1,228,2e-125,358,"Artha|AT5G47670",59.26,216,88,33,4,196,3,208,1e-68,214,"NA ",""
"129","Potra000490","Potra000490:171371",2,7804,13572,"Potra000490g03070.1",8,5768,0.13,"and GRAM domain","Potri|006G003200.1",96.18,1021,39,0,1,1021,1,1021,0,2024,"Artha|AT1G03370",66.54,1022,342,13,4,1021,1,1013,0,1398,"GO:0005515","protein binding"
